Process,Topic,SAP Table,Business Table,Fact/Dim Table,Functional Description,Measures
Customer Service and Returns,Return Processing Time,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Customer Service and Returns,Customer Retention Rate,VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Customer Service and Returns,Customer Retention Rate,VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Customer Service and Returns,Customer Retention Rate,VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Customer Service and Returns,Customer Retention Rate,VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Customer Service and Returns,Customer Retention Rate,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Customer Service and Returns,Customer Retention Rate,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Customer Service and Returns,Customer Retention Rate,VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Customer Service and Returns,Customer Retention Rate,VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Customer Service and Returns,Customer Retention Rate,QMEL,Quality & Returns,Fact Quality and Returns,Service notification master data for complaints and corrective actions,"complaint count, notification count"
Customer Service and Returns,Customer Retention Rate,SER01,Quality & Returns,Fact Quality and Returns,Serial number document header for return tracking and warranty coverage,"return quantity, warranty claim count"
Customer Service and Returns,Customer Retention Rate,OBJK,Quality & Returns,Fact Quality and Returns,"Serial number object list linking products, services and warranties",return quantity
Customer Service and Returns,Customer Retention Rate,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Customer Service and Returns,Average lead time,VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Customer Service and Returns,Average lead time,VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Customer Service and Returns,Average lead time,VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Customer Service and Returns,Average lead time,VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Customer Service and Returns,Average lead time,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Customer Service and Returns,Average lead time,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Customer Service and Returns,Average lead time,VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Customer Service and Returns,Average lead time,VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Customer Service and Returns,Average lead time,QMEL,Quality & Returns,Fact Quality and Returns,Service notification master data for complaints and corrective actions,"complaint count, notification count"
Customer Service and Returns,Average lead time,SER01,Quality & Returns,Fact Quality and Returns,Serial number document header for return tracking and warranty coverage,"return quantity, warranty claim count"
Customer Service and Returns,Average lead time,OBJK,Quality & Returns,Fact Quality and Returns,"Serial number object list linking products, services and warranties",return quantity
Customer Service and Returns,Average lead time,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Sales,Sales Performance by Product,VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Sales,Sales Performance by Product,VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Sales,Sales Performance by Product,VBEP,Sales Schedule Line,Fact Sales Order,Sales schedule lines for deliveries and demand planning,scheduled quantity
Sales,Sales Performance by Product,VBPA,Sales Partner,Dim Customer,Sales partner data for order ownership and contact roles,
Sales,Sales Performance by Product,VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Sales,Sales Performance by Product,VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Sales,Sales Performance by Product,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Sales,Sales Performance by Product,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Sales,Sales Performance by Product,VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Sales,Sales Performance by Product,VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Sales,Sales Performance by Product,VBKD,Sales Business Data,Dim Customer,Customer business data used in sales order processing,
Sales,Sales Performance by Product,KNVV,Customer Master,Dim Customer,Customer sales area data for pricing and distribution analysis,
Sales,Sales Performance by Product,KNA1,Customer Master,Dim Customer,Customer master general data for identification and classification,
Sales,Sales Performance by Product,KONV,Pricing Conditions,Dim Pricing,Pricing condition records used by sales and procurement documents,
Sales,Sales Performance by Product,VBFA,Sales Document Flow,Dim Sales Flow,"Document flow linking sales orders, deliveries and invoices",
Sales,Customer Acquisition Cost (CAC),VBAK,Sales Order Header,Fact Sales Order,Sales order header data with customer and document status,"order quantity, order value, gross value"
Sales,Customer Acquisition Cost (CAC),VBAP,Sales Order Item,Fact Sales Order,"Sales order item details for product, quantity and pricing","order quantity, net value"
Sales,Customer Acquisition Cost (CAC),VBEP,Sales Schedule Line,Fact Sales Order,Sales schedule lines for deliveries and demand planning,scheduled quantity
Sales,Customer Acquisition Cost (CAC),VBPA,Sales Partner,Dim Customer,Sales partner data for order ownership and contact roles,
Sales,Customer Acquisition Cost (CAC),VBUK,Sales Order Status Header,Fact Sales Order,Sales document status header for delivery and billing readiness,
Sales,Customer Acquisition Cost (CAC),VBUP,Sales Order Status Item,Fact Sales Order,Sales item status detail for shipment and invoicing tracking,
Sales,Customer Acquisition Cost (CAC),LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Sales,Customer Acquisition Cost (CAC),LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Sales,Customer Acquisition Cost (CAC),VBRK,Billing Document,Fact Billing,Billing header for invoices and credit memos,"billing amount, tax amount, credit memo amount"
Sales,Customer Acquisition Cost (CAC),VBRP,Billing Document,Fact Billing,Billing item detail for invoiced quantity and pricing,"invoiced quantity, invoiced amount"
Sales,Customer Acquisition Cost (CAC),VBKD,Sales Business Data,Dim Customer,Customer business data used in sales order processing,
Sales,Customer Acquisition Cost (CAC),KNVV,Customer Master,Dim Customer,Customer sales area data for pricing and distribution analysis,
Sales,Customer Acquisition Cost (CAC),KNA1,Customer Master,Dim Customer,Customer master general data for identification and classification,
